NDVI,EVI,RED,SWIR,Area,Biomass
0.56981117,0.463996788,0.0911,0.20026,250000,53.3773404
0.59318954,0.501008567,0.08536667,0.20373334,250000,56.1827448
0.5655324,0.399876003,0.0824,0.18864,250000,52.863888
0.56398165,0.46376802,0.0902,0.1884,250000,52.677798
0.56594324,0.497560571,0.096766666,0.2131,250000,52.9131888
0.45633474,0.369790461,0.104833335,0.22545,250000,39.7601688
0.5552286,0.413531276,0.08536,0.19472,250000,51.627432
0.5352935,0.422137983,0.09144,0.21274,250000,49.23522
0.4378717,0.35942023,0.13374001,0.25312,250000,37.544604
0.5509427,0.456904612,0.09456,0.20716,250000,51.113124
0.6094229,0.47252354,0.08098,0.19132,250000,58.130748
0.35376903,0.239873785,0.122925,0.252275,250000,27.4522836
0.221349,0.160662773,0.16203333,0.34263334,250000,11.56188
0.59780294,0.423144672,0.07714,0.18584,250000,56.7363528
0.5731563,0.448877964,0.08748333,0.2109,250000,53.778756
0.0693407,0.046281516,0.14816667,0.1682,250000,-6.679116
0.4862391,0.345884994,0.09348,0.19524,250000,43.348692
0.568832,0.419324966,0.0857,0.21018,250000,53.25984
0.5638672,0.419896555,0.08466,0.19118,250000,52.664064
0.5582199,0.394573258,0.08162,0.18596,250000,51.986388
0.5380331,0.366953287,0.08356,0.2163,250000,49.563972
0.42174265,0.305106345,0.11698,0.25652,250000,35.609118
0.54881483,0.389379576,0.07962,0.15992,250000,50.8577796
0.51866347,0.38749237,0.0902,0.18992,250000,47.2396164
0.5033613,0.450436047,0.12663999,0.25038,250000,45.403356
0.56654286,0.465782941,0.090525,0.18535,250000,52.9851432
0.46092677,0.446752798,0.13622001,0.2627,250000,40.3112124
0.5399645,0.579541113,0.117019996,0.23796,250000,49.79574
0.6073407,0.490380406,0.08508,0.19636,250000,57.880884
0.52495015,0.350472632,0.08388,0.20344,250000,47.994018
0.35430145,0.25436832,0.11916667,0.2496,250000,27.516174
0.6198807,0.511535203,0.0853,0.22854,250000,59.385684
0.48871168,0.376703988,0.102024995,0.234375,250000,43.6454016
-0.29403868,-0.124765754,0.11996,0.05,250000,-50.2846416
-0.31176925,-0.123070886,0.11122,0.04886,250000,-52.41231
-0.34038165,-0.121044897,0.10402,0.04826,250000,-55.845798
-0.12711865,-0.042934832,0.11238,0.07424,250000,-30.254238
0.37563375,0.273101248,0.1259,0.28382,250000,30.07605
0.52035016,0.376073792,0.090959996,0.20814,250000,47.4420192
0.5048099,0.326579141,0.0861,0.22332,250000,45.577188
0.5323614,0.357515141,0.08075,0.15245,250000,48.883368
0.34573293,0.296602602,0.121816665,0.24813333,250000,26.4879516
0.53652227,0.455686205,0.098474994,0.2025,250000,49.3826724
0.5456119,0.49156931,0.100825,0.220125,250000,50.473428
0.54927206,0.495813502,0.10085,0.20345,250000,50.9126472
0.6148707,0.5572018,0.08851667,0.21943334,250000,58.784484
0.56958324,0.472755439,0.091516666,0.22225,250000,53.3499888
0.5838794,0.51264367,0.08885,0.20988333,250000,55.065528
0.5714157,0.587125677,0.10701667,0.24063334,250000,53.569884
0.5708787,0.498537748,0.09836667,0.2196,250000,53.505444
0.58523345,0.515802168,0.09168333,0.20671667,250000,55.228014
0.6393256,0.579290272,0.08744,0.22702,250000,61.719072
0.47809613,0.330005103,0.09063333,0.17183334,250000,42.3715356
0.3404895,0.289977398,0.1505,0.30595,250000,25.85874
0.13402079,0.108266889,0.18885,0.31483334,250000,1.0824948
0.14061366,0.104174163,0.1691,0.30276,250000,1.8736392
-0.30516693,-0.127441947,0.12056,0.04972,250000,-51.6200316
-0.29381177,-0.124740863,0.1206,0.04956,250000,-50.2574124
-0.30259356,-0.119877581,0.11146,0.04932,250000,-51.3112272
-0.32324067,-0.122588118,0.1092,0.04868,250000,-53.7888804
-0.26667267,-0.096096463,0.10594,0.05566,250000,-47.0007204
0.4469933,0.346862867,0.10945,0.22928333,250000,38.639196
